E,<Daa>,Prec_Ratio
9.9999994e-02,4.9878899e-12,0.0000000e+00
1.1318249e-01,7.2635400e-12,0.0000000e+00
1.3361694e-01,1.2020000e-11,0.0000000e+00
1.5774070e-01,2.0008500e-11,0.0000000e+00
1.8621986e-01,3.3921001e-11,0.0000000e+00
2.1984078e-01,5.8450897e-11,0.0000000e+00
2.5953174e-01,1.0371600e-10,0.0000000e+00
3.0000001e-01,1.7637200e-10,0.0000000e+00
3.6170539e-01,3.7588199e-10,0.0000000e+00
4.2700922e-01,8.2350399e-10,3.8180222e-03
5.0410324e-01,2.3363000e-09,6.2088123e-03
5.9511620e-01,1.0663700e-08,1.2747031e-02
7.0256096e-01,3.1386801e-08,2.0951334e-02
8.2940429e-01,1.0418600e-07,3.6486442e-02
1.0000000e+00,4.6622500e-07,7.2965970e-02
1.1318250e+00,1.3565800e-06,1.1914910e-01
1.3361694e+00,5.9473900e-06,2.3128775e-01
1.5774070e+00,7.5099997e-02,9.9929628e-01
1.8621986e+00,1.8472899e-01,9.9968912e-01
2.1984079e+00,2.6463100e-01,9.9976430e-01
2.5953176e+00,3.3236700e-01,9.9979621e-01
3.0000000e+00,3.8112199e-01,9.9980903e-01
3.6170540e+00,4.2118001e-01,9.9981043e-01
4.2700920e+00,4.2879799e-01,9.9979788e-01
5.0410328e+00,4.0886700e-01,9.9976995e-01
5.9511619e+00,3.6519501e-01,9.9972054e-01
7.0256095e+00,3.0599800e-01,9.9963822e-01
8.2940426e+00,2.4095200e-01,9.9950180e-01
1.0000000e+01,1.7151800e-01,9.9923366e-01
1.1318249e+01,1.3181899e-01,9.9894160e-01
1.3361693e+01,8.8686302e-02,9.9829716e-01
1.5774070e+01,5.7078801e-02,9.9713954e-01
1.8621986e+01,3.5381600e-02,9.9502040e-01
2.1984077e+01,2.1277400e-02,9.9109257e-01
2.5953175e+01,1.2505200e-02,9.8378472e-01
3.0000000e+01,7.7606998e-03,9.7249360e-01
3.5416325e+01,4.4562202e-03,9.4994189e-01
4.1810539e+01,2.5501701e-03,9.1098370e-01
4.9359188e+01,5.5561599e-04,6.9836483e-01
5.8270699e+01,2.3447200e-04,5.1660603e-01
6.8791138e+01,1.1660100e-04,3.7858432e-01
8.1210976e+01,6.2668398e-05,2.7908508e-01
1.0000000e+02,3.0544401e-05,1.9256723e-01
1.1318250e+02,2.0201500e-05,1.5478793e-01
1.3361693e+02,1.1737500e-05,1.1582038e-01
1.5774069e+02,6.8596300e-06,8.6771251e-02
1.8621985e+02,4.0143700e-06,6.5017674e-02
2.1984077e+02,2.3433099e-06,4.8666892e-02
2.5953177e+02,1.3594700e-06,3.6343323e-02
3.0000000e+02,8.4108501e-07,2.8122398e-02
3.6170541e+02,4.4783999e-07,2.0121421e-02
4.2700922e+02,2.5197301e-07,1.4854204e-02
5.0410324e+02,1.4017100e-07,1.0918399e-02
5.9511621e+02,7.7130203e-08,7.9905361e-03
7.0256097e+02,4.2066400e-08,5.8251831e-03
8.2940424e+02,2.2707400e-08,4.2227205e-03
1.0000000e+03,1.1189000e-08,2.9104641e-03
1.1559279e+03,6.3932499e-09,0.0000000e+00
1.3646240e+03,3.3620899e-09,0.0000000e+00
1.6109990e+03,1.7758000e-09,0.0000000e+00
1.9018555e+03,9.2820501e-10,0.0000000e+00
2.2452244e+03,4.8921600e-10,0.0000000e+00
2.6505867e+03,2.5960400e-10,0.0000000e+00
3.0000000e+03,1.5900700e-10,0.0000000e+00
3.6940818e+03,7.3071098e-11,0.0000000e+00
4.3610269e+03,3.6718999e-11,0.0000000e+00
5.1483853e+03,1.5359099e-11,0.0000000e+00
6.0778960e+03,4.8813202e-12,0.0000000e+00
7.1752246e+03,1.0906800e-12,0.0000000e+00
8.4706699e+03,1.1209900e-13,0.0000000e+00
1.0000000e+04,5.9776999e-14,0.0000000e+00
