E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,5.4903802e-09,7.4714167e-03
1.5774070e+00,2.1427301e-08,1.4168893e-02
1.8621986e+00,7.9905398e-08,2.6189908e-02
2.1984079e+00,3.4366801e-07,5.1783135e-02
2.5953176e+00,1.7609300e-06,1.1069796e-01
3.0000000e+00,8.8609904e-06,2.3093772e-01
3.6170540e+00,1.3091300e-02,9.9394859e-01
4.2700920e+00,2.0907201e-02,9.9587622e-01
5.0410328e+00,2.7369300e-02,9.9657791e-01
5.9511619e+00,3.2863401e-02,9.9690613e-01
7.0256095e+00,3.6889900e-02,9.9700957e-01
8.2940426e+00,3.8824901e-02,9.9691878e-01
1.0000000e+01,3.8228702e-02,9.9657393e-01
1.1318249e+01,3.6243599e-02,9.9616483e-01
1.3361693e+01,3.2064699e-02,9.9530901e-01
1.5774070e+01,2.6774600e-02,9.9392820e-01
1.8621986e+01,2.1181300e-02,9.9171883e-01
2.1984077e+01,1.5939301e-02,9.8815652e-01
2.5953175e+01,1.1467100e-02,9.8235127e-01
3.0000000e+01,8.3299903e-03,9.7430920e-01
3.5416325e+01,5.6005502e-03,9.5962150e-01
4.1810539e+01,3.6681900e-03,9.3580869e-01
4.9359188e+01,2.3580999e-03,8.9839905e-01
5.8270699e+01,1.4983900e-03,8.4279511e-01
6.8791138e+01,9.4659900e-04,7.6664326e-01
8.1210976e+01,5.9734500e-04,6.7290222e-01
1.0000000e+02,2.7433599e-04,5.0479813e-01
1.1318250e+02,1.8648000e-04,4.2500394e-01
1.3361693e+02,1.1641000e-04,3.3863944e-01
1.5774069e+02,7.4948599e-05,2.7094234e-01
1.8621985e+02,4.9190901e-05,2.1762612e-01
2.1984077e+02,3.2682099e-05,1.7535930e-01
2.5953177e+02,2.1877200e-05,1.4164345e-01
3.0000000e+02,1.5464300e-05,1.1772476e-01
3.6170541e+02,9.8955898e-06,9.2813956e-02
4.2700922e+02,6.6550401e-06,7.5196431e-02
5.0410324e+02,4.4660001e-06,6.0917565e-02
5.9511621e+02,2.9859900e-06,4.9315835e-02
7.0256097e+02,1.9871400e-06,3.9878524e-02
8.2940424e+02,1.3153000e-06,3.2198745e-02
1.0000000e+03,8.2026799e-07,2.5244916e-02
1.1559279e+03,5.6588198e-07,2.0869904e-02
1.3646240e+03,3.6775501e-07,1.6747882e-02
1.6109990e+03,2.3750999e-07,1.3407810e-02
1.9018555e+03,1.5249999e-07,1.0708211e-02
2.2452244e+03,9.7370702e-08,8.5307921e-03
2.6505867e+03,6.1862600e-08,6.7792856e-03
3.0000000e+03,4.3976801e-08,5.7017769e-03
3.6940818e+03,2.4655900e-08,4.2469292e-03
4.3610269e+03,1.5484000e-08,3.3450794e-03
5.1483853e+03,9.7034398e-09,0.0000000e+00
6.0778960e+03,6.0695302e-09,0.0000000e+00
7.1752246e+03,3.7931800e-09,0.0000000e+00
8.4706699e+03,2.3706701e-09,0.0000000e+00
1.0000000e+04,1.4835300e-09,0.0000000e+00
