E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,0.0000000e+00,0.0000000e+00
7.0256096e-01,0.0000000e+00,0.0000000e+00
8.2940429e-01,0.0000000e+00,0.0000000e+00
1.0000000e+00,0.0000000e+00,0.0000000e+00
1.1318250e+00,0.0000000e+00,0.0000000e+00
1.3361694e+00,0.0000000e+00,0.0000000e+00
1.5774070e+00,2.2262301e-09,4.5457641e-03
1.8621986e+00,1.2614400e-08,1.0434311e-02
2.1984079e+00,4.5699899e-08,1.9036651e-02
2.5953176e+00,1.8440799e-07,3.6544090e-02
3.0000000e+00,7.1334102e-07,6.8756987e-02
3.6170540e+00,5.0923200e-06,1.7038418e-01
4.2700920e+00,9.5999604e-03,9.9107680e-01
5.0410328e+00,1.8180899e-02,9.9486028e-01
5.9511619e+00,2.5086300e-02,9.9595216e-01
7.0256095e+00,3.1058701e-02,9.9645078e-01
8.2940426e+00,3.5698902e-02,9.9665018e-01
1.0000000e+01,3.8618300e-02,9.9660834e-01
1.1318249e+01,3.8950901e-02,9.9643012e-01
1.3361693e+01,3.7326701e-02,9.9596675e-01
1.5774070e+01,3.3649001e-02,9.9516065e-01
1.8621986e+01,2.8614501e-02,9.9385241e-01
2.1984077e+01,2.2994099e-02,9.9175027e-01
2.5953175e+01,1.7534699e-02,9.8836370e-01
3.0000000e+01,1.3308600e-02,9.8371151e-01
3.5416325e+01,9.3228901e-03,9.7521204e-01
4.1810539e+01,6.2962798e-03,9.6122335e-01
4.9359188e+01,4.1278098e-03,9.3840755e-01
5.8270699e+01,2.6467401e-03,9.0221783e-01
6.8791138e+01,1.6721300e-03,8.4774911e-01
8.1210976e+01,1.0475200e-03,7.7210787e-01
1.0000000e+02,5.8027502e-04,6.5175951e-01
1.1318250e+02,3.5338101e-04,5.4501264e-01
1.3361693e+02,2.0069000e-04,4.2742289e-01
1.5774069e+02,1.2230899e-04,3.3757548e-01
1.8621985e+02,7.7221099e-05,2.6806971e-01
2.1984077e+02,4.9779199e-05,2.1382227e-01
2.5953177e+02,3.2515200e-05,1.7116685e-01
3.0000000e+02,2.2566899e-05,1.4125158e-01
3.6170541e+02,1.4156800e-05,1.1046852e-01
4.2700922e+02,9.3728304e-06,8.8907169e-02
5.0410324e+02,6.2036102e-06,7.1592641e-02
5.9511621e+02,4.0977302e-06,5.7645559e-02
7.0256097e+02,2.6975099e-06,4.6385230e-02
8.2940424e+02,1.7683900e-06,3.7287295e-02
1.0000000e+03,1.0921400e-06,2.9102665e-02
1.1559279e+03,7.4843399e-07,2.3984393e-02
1.3646240e+03,4.8296999e-07,1.9183715e-02
1.6109990e+03,3.0998601e-07,1.5313407e-02
1.9018555e+03,1.9790600e-07,1.2198096e-02
2.2452244e+03,1.2571800e-07,9.6954774e-03
2.6505867e+03,7.9492601e-08,7.6891757e-03
3.0000000e+03,5.6318498e-08,6.4583728e-03
3.6940818e+03,3.1416100e-08,4.8025850e-03
4.3610269e+03,1.9660099e-08,3.7804013e-03
5.1483853e+03,1.2274700e-08,2.9652166e-03
6.0778960e+03,7.6480298e-09,0.0000000e+00
7.1752246e+03,4.7642801e-09,0.0000000e+00
8.4706699e+03,2.9659799e-09,0.0000000e+00
1.0000000e+04,1.8490700e-09,0.0000000e+00
