en L<5_night L<5_day L<5_dusk L>5_night L>5_day L>5_dusk
63.245541 0.4326551263175512 0.7486549172382393 0.702962896430187 0.35832895095922357 0.69851604013297 0.6109805025884665
97.979584 0.3124814630746636 0.6253104541274079 0.5598822724576155 0.29243916050091917 0.655416257416638 0.53540033994639
138.56409 0.2849161909427182 0.5715594185845178 0.49838322559784326 0.2568169924139328 0.5948285793333465 0.45523218904994617
183.30309 0.22276689430542126 0.44989818318464303 0.38277766038298583 0.1936479817519724 0.5227849343964756 0.35172935880210476
238.11758 0.1685716917288964 0.3366962592825535 0.3046051577217045 0.1704253775436065 0.4321443313644658 0.2662259864393485
305.2049 0.1476732360094195 0.2670122743505862 0.23076799455113575 0.1348099132782491 0.33391772450554064 0.18463867224048405
385.16229 0.11352295787120108 0.20845835908749027 0.1865376195911573 0.11053718466257335 0.23601617013475437 0.13468037203695393
520.48047 0.08269104467691275 0.12093722519491416 0.1183960702787068 0.06254812003237091 0.14042644377579555 0.08269342240229151
752.99396 0.06754351771989527 0.05794086161723679 0.07775552583076711 0.04280796159384847 0.0542090406562436 0.04395120896825123
1081.6653 0.04075444205935844 0.03402234610393133 0.05247539463284423 0.021924659729164058 0.02449315546417629 0.028888416784053336
1529.7061 0.023806748436048155 0.022134276247116842 0.03911939033017513 0.011717454840852529 0.012944002882057612 0.012635160875555228
