en L<5_night L<5_day L<5_dusk L>5_night L>5_day L>5_dusk
63.245541 0.6644899936549217 1.0 1.0747920160784454 0.5898089043453549 1.0 0.6653074317026093
97.979584 0.5349666053867935 0.9618205849546596 0.956028502067749 0.5142767357860171 1.0338910671314347 0.5898919016266378
138.56409 0.5165159763265172 0.8573749479659201 0.8386239011253225 0.433206695123298 0.9716521493167886 0.5174581035686696
183.30309 0.40701576911193005 0.7548144968893301 0.7129938791979549 0.37163658799856436 0.8613414421886239 0.5020779745244501
238.11758 0.31634972836997793 0.6033348364627295 0.7710437851400308 0.30132634015817544 0.7193463804517116 0.3970788786566766
305.2049 0.2455389115118568 0.4862806719879746 0.5949159452670779 0.2621552313734723 0.5995607187293004 0.3379530926146203
385.16229 0.166331067350016 0.41020259853401647 0.5438202719680997 0.16939435186574717 0.44092952430280075 0.28721537438187117
520.48047 0.12566737318927443 0.26951325889061123 0.377450636730308 0.14061906415497907 0.2435661350467973 0.19185274773560282
752.99396 0.07208649287936836 0.15158755933221577 0.2741262039355939 0.06725992981386215 0.11376054016761869 0.14683539318338834
1081.6653 0.05009608625765655 0.1330360639528273 0.21578056070010596 0.042104531701992 0.05459250488967436 0.08584274921560062
1529.7061 0.02754560870710001 0.093865322451303 0.16502394967832362 0.016172335132560563 0.023411912919101024 0.008792189379592467
