en L<5_night L<5_day L<5_dusk L>5_night L>5_day L>5_dusk
63.245541 0.3153906846417068 0.5418575479385805 0.2671288265313488 0.21301230350645242 0.4483143916464877 0.27283946597131614
97.979584 0.15289629267110463 0.3667894298200955 0.20075502960384806 0.15754343492291323 0.37665603371088646 0.20475293004378015
138.56409 0.1315633315874768 0.31971898948051836 0.19114947859503678 0.129620694893284 0.31653896203584175 0.16428400757986988
183.30309 0.09984001743325847 0.25519590394329694 0.15121339225650993 0.10930235384555316 0.2514176909227673 0.1284606020951404
238.11758 0.08588645228717055 0.1767423890429784 0.10379671832234905 0.07785631653890013 0.19058553278816684 0.1008545514096694
305.2049 0.06466835749084249 0.13701278290066776 0.09325946184431785 0.08744663023468774 0.12662834490028552 0.06626773765750918
385.16229 0.06068144700017707 0.09201609781051984 0.08010547205343113 0.06951809112564582 0.10834715866689777 0.05234103745621655
520.48047 0.04176117662617702 0.07643809673800345 0.05950597455063611 0.043297462949591456 0.05781515501819192 0.024421189370134433
752.99396 0.02982916615687692 0.04522865487292329 0.04253881763712495 0.032565452671195795 0.02681457289435232 0.012348895615185571
1081.6653 0.025310209049482894 0.03148736486287931 0.020177895829448147 0.02521878823522096 0.012511508943024897 0.007604337478737808
1529.7061 0.015080694989791199 0.019116938859763434 0.011678648479905207 0.006050733002894479 0.005148402090221081 0.0030238048605975465
